dataset,class_id,class_name,split,instances
Aboba,0,---,train,9
Aboba,0,---,TOTAL,9
Aboba,1,BMP-BMD,train,1305
Aboba,1,BMP-BMD,TOTAL,1305
Aboba,2,BTR,train,363
Aboba,2,BTR,TOTAL,363
Aboba,3,KAMAZ,train,45
Aboba,3,KAMAZ,TOTAL,45
Aboba,4,MTLB,train,288
Aboba,4,MTLB,TOTAL,288
Aboba,5,REB,train,18
Aboba,5,REB,TOTAL,18
Aboba,6,RLS,train,12
Aboba,6,RLS,TOTAL,12
Aboba,7,RSZO,train,99
Aboba,7,RSZO,TOTAL,99
Aboba,8,SAU,train,180
Aboba,8,SAU,TOTAL,180
Aboba,9,TANK,train,2934
Aboba,9,TANK,TOTAL,2934
Aboba,10,URAL,train,63
Aboba,10,URAL,TOTAL,63
Aboba,11,ZRK,train,108
Aboba,11,ZRK,TOTAL,108
