dataset,class_id,class_name,split,images_with_class
VisDrone,0,pedestrian,valid,520
VisDrone,0,pedestrian,train,5366
VisDrone,0,pedestrian,TOTAL,5886
VisDrone,1,people,valid,482
VisDrone,1,people,train,3947
VisDrone,1,people,TOTAL,4429
VisDrone,2,car,valid,515
VisDrone,2,car,train,6133
VisDrone,2,car,TOTAL,6648
VisDrone,3,van,valid,421
VisDrone,3,van,train,4948
VisDrone,3,van,TOTAL,5369
VisDrone,4,truck,valid,266
VisDrone,4,truck,train,3551
VisDrone,4,truck,TOTAL,3817
VisDrone,5,bus,valid,131
VisDrone,5,bus,train,2023
VisDrone,5,bus,TOTAL,2154
